,Text,Type,Category,Description,Snomed_code,Meddra_code,pt_name,hlt_name,hlgt_name,soc_name,soc_abbrev
10,palpitations,DX_NAME,MEDICAL_CONDITION,Palpitations (finding),80313002,10033557.0,Palpitations,Cardiac signs and symptoms NEC,"Cardiac disorders, signs and symptoms NEC",Cardiac disorders,Card
11,palpitations,DX_NAME,MEDICAL_CONDITION,Palpitations - rapid (finding),248648003,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
12,palpitations,DX_NAME,MEDICAL_CONDITION,History of palpitations (situation),473122004,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
13,palpitations,DX_NAME,MEDICAL_CONDITION,Intermittent palpitations (finding),102590007,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
14,palpitations,DX_NAME,MEDICAL_CONDITION,No palpitations (situation),161966006,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
15,chest,SYSTEM_ORGAN_SITE,ANATOMY,Thoracic structure (body structure),51185008,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
16,chest,SYSTEM_ORGAN_SITE,ANATOMY,Thoracic (qualifier value),261179002,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
17,chest,SYSTEM_ORGAN_SITE,ANATOMY,Structure of thoracic cross-sectional segment of trunk (body structure),816094009,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
18,chest,SYSTEM_ORGAN_SITE,ANATOMY,Structure of thoracic trachea (body structure),726661005,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
19,chest,SYSTEM_ORGAN_SITE,ANATOMY,Skin structure of chest (body structure),74160004,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
20,chest pressure,DX_NAME,MEDICAL_CONDITION,Tight chest (finding),23924001,10043854.0,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
21,chest pressure,DX_NAME,MEDICAL_CONDITION,Respiratory pressure (observable entity),251907000,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
22,chest pressure,DX_NAME,MEDICAL_CONDITION,Pressure (finding),13543005,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
23,chest pressure,DX_NAME,MEDICAL_CONDITION,Squeezing chest pain (finding),371030007,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
24,chest pressure,DX_NAME,MEDICAL_CONDITION,Abdominal pressure (observable entity),251377007,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
25,Sleeping trouble,DX_NAME,MEDICAL_CONDITION,Sleep disorder (disorder),39898005,10040984.0,Sleep disorder,Sleep disorders NEC,Sleep disorders and disturbances,Psychiatric disorders,Psych
26,Sleeping trouble,DX_NAME,MEDICAL_CONDITION,Symptoms interfere with sleep (disorder),248259004,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
27,Sleeping trouble,DX_NAME,MEDICAL_CONDITION,Sleep pattern disturbance (finding),26677001,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
28,Sleeping trouble,DX_NAME,MEDICAL_CONDITION,Sleep dysfunction with arousal disturbance (disorder),442176004,10013909.0,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
29,Sleeping trouble,DX_NAME,MEDICAL_CONDITION,Difficulty sleeping (finding),301345002,10012804.0,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
30,Severe,QUALITY,MEDICAL_CONDITION,Severe (severity modifier) (qualifier value),24484000,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
31,Severe,QUALITY,MEDICAL_CONDITION,Symptom severe (finding),162470006,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
32,Severe,QUALITY,MEDICAL_CONDITION,Severe pain (finding),76948002,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
33,Severe,QUALITY,MEDICAL_CONDITION,Severe medical complication (disorder),432631000124108,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
34,Severe,QUALITY,MEDICAL_CONDITION,Severe myopia (disorder),34187009,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
35,face,SYSTEM_ORGAN_SITE,ANATOMY,Face structure (body structure),89545001,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
36,face,SYSTEM_ORGAN_SITE,ANATOMY,Skin structure of face (body structure),73897004,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
37,face,SYSTEM_ORGAN_SITE,ANATOMY,Structure of region of face (body structure),123853000,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
38,face,SYSTEM_ORGAN_SITE,ANATOMY,Skin structure of side of face (body structure),244072003,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
39,face,SYSTEM_ORGAN_SITE,ANATOMY,Structure of jaw region of face (body structure),838503004,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
40,leg,SYSTEM_ORGAN_SITE,ANATOMY,Lower limb structure (body structure),61685007,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
41,leg,SYSTEM_ORGAN_SITE,ANATOMY,Both lower legs (body structure),40927001,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
42,leg,SYSTEM_ORGAN_SITE,ANATOMY,Structure of right lower limb (body structure),62175007,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
43,leg,SYSTEM_ORGAN_SITE,ANATOMY,Both lower extremities (body structure),4180000,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
44,leg,SYSTEM_ORGAN_SITE,ANATOMY,Structure of left lower leg (body structure),48979004,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
45,Rash,DX_NAME,MEDICAL_CONDITION,Eruption of skin (disorder),271807003,10040841.0,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
46,Rash,DX_NAME,MEDICAL_CONDITION,Eruption caused by drug (disorder),28926001,10013687.0,Drug eruption,Mucosal findings abnormal,General system disorders NEC,General disorders and administration site conditions,Genrl
47,Rash,DX_NAME,MEDICAL_CONDITION,Eruption caused by drug (disorder),28926001,10013687.0,Drug eruption,"Allergies to foods, food additives, drugs and other chemicals",Allergic conditions,Immune system disorders,Immun
48,Rash,DX_NAME,MEDICAL_CONDITION,Eruption caused by drug (disorder),28926001,10013687.0,Drug eruption,Dermatitis ascribed to specific agent,Epidermal and dermal conditions,Skin and subcutaneous tissue disorders,Skin
49,Rash,DX_NAME,MEDICAL_CONDITION,Eruption of skin caused by antiretroviral drug (disorder),713528004,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
50,Rash,DX_NAME,MEDICAL_CONDITION,Purpuric rash (disorder),284078000,10037566.0,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
51,Rash,DX_NAME,MEDICAL_CONDITION,Vesicular skin eruptions of the temporal region (disorder),95328003,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
52,face,SYSTEM_ORGAN_SITE,ANATOMY,Face structure (body structure),89545001,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
53,face,SYSTEM_ORGAN_SITE,ANATOMY,Skin structure of face (body structure),73897004,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
54,face,SYSTEM_ORGAN_SITE,ANATOMY,Structure of region of face (body structure),123853000,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
55,face,SYSTEM_ORGAN_SITE,ANATOMY,Skin structure of side of face (body structure),244072003,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
56,face,SYSTEM_ORGAN_SITE,ANATOMY,Structure of jaw region of face (body structure),838503004,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
57,leg,SYSTEM_ORGAN_SITE,ANATOMY,Lower limb structure (body structure),61685007,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
58,leg,SYSTEM_ORGAN_SITE,ANATOMY,Both lower legs (body structure),40927001,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
59,leg,SYSTEM_ORGAN_SITE,ANATOMY,Structure of right lower limb (body structure),62175007,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
60,leg,SYSTEM_ORGAN_SITE,ANATOMY,Both lower extremities (body structure),4180000,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
61,leg,SYSTEM_ORGAN_SITE,ANATOMY,Structure of left lower leg (body structure),48979004,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
62,HEENT,SYSTEM_ORGAN_SITE,ANATOMY,Head structure (body structure),69536005,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
63,HEENT,SYSTEM_ORGAN_SITE,ANATOMY,"Review of systems, head, ear, eyes, nose and throat (procedure)",429031000124106,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
64,HEENT,SYSTEM_ORGAN_SITE,ANATOMY,Fetal head structure (body structure),54527006,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
65,HEENT,SYSTEM_ORGAN_SITE,ANATOMY,Head part (body structure),123850002,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
66,HEENT,SYSTEM_ORGAN_SITE,ANATOMY,Entire head (body structure),302548004,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
67,HEENT,SYSTEM_ORGAN_SITE,ANATOMY,Head structure (body structure),69536005,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
68,HEENT,SYSTEM_ORGAN_SITE,ANATOMY,"Review of systems, head, ear, eyes, nose and throat (procedure)",429031000124106,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
69,HEENT,SYSTEM_ORGAN_SITE,ANATOMY,Fetal head structure (body structure),54527006,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
70,HEENT,SYSTEM_ORGAN_SITE,ANATOMY,Head part (body structure),123850002,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
71,HEENT,SYSTEM_ORGAN_SITE,ANATOMY,Entire head (body structure),302548004,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
72,Boggy inferior turbinates,DX_NAME,MEDICAL_CONDITION,Inferior nasal turbinate structure (body structure),6553002,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
73,Boggy inferior turbinates,DX_NAME,MEDICAL_CONDITION,Tumor of inferior turbinate (disorder),254477009,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
74,Boggy inferior turbinates,DX_NAME,MEDICAL_CONDITION,Nasal turbinate finding (finding),249355003,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
75,Boggy inferior turbinates,DX_NAME,MEDICAL_CONDITION,Nasal turbinate part (body structure),372201007,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
76,Boggy inferior turbinates,DX_NAME,MEDICAL_CONDITION,Posterior end of inferior turbinate hypertrophy (disorder),249356002,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
77,inferior turbinates,SYSTEM_ORGAN_SITE,ANATOMY,Tumor of inferior turbinate (disorder),254477009,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
78,inferior turbinates,SYSTEM_ORGAN_SITE,ANATOMY,Inferior nasal turbinate structure (body structure),6553002,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
79,inferior turbinates,SYSTEM_ORGAN_SITE,ANATOMY,Malignant tumor of inferior turbinate (disorder),254478004,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
80,inferior turbinates,SYSTEM_ORGAN_SITE,ANATOMY,Sarcoidosis of inferior turbinates (disorder),310607007,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
81,inferior turbinates,SYSTEM_ORGAN_SITE,ANATOMY,Inferior nasal turbinate bone structure (body structure),118648008,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
82,oropharyngeal,SYSTEM_ORGAN_SITE,ANATOMY,Oropharyngeal structure (body structure),31389004,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
83,oropharyngeal,SYSTEM_ORGAN_SITE,ANATOMY,Oropharyngeal (intended site),764786007,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
84,oropharyngeal,SYSTEM_ORGAN_SITE,ANATOMY,Oropharyngeal route (qualifier value),418664002,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
85,oropharyngeal,SYSTEM_ORGAN_SITE,ANATOMY,Structure of oropharyngeal cavity (body structure),423103006,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
86,oropharyngeal,SYSTEM_ORGAN_SITE,ANATOMY,Pharyngeal structure (body structure),54066008,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
87,HEENT,SYSTEM_ORGAN_SITE,ANATOMY,Head structure (body structure),69536005,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
88,HEENT,SYSTEM_ORGAN_SITE,ANATOMY,"Review of systems, head, ear, eyes, nose and throat (procedure)",429031000124106,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
89,HEENT,SYSTEM_ORGAN_SITE,ANATOMY,Fetal head structure (body structure),54527006,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
90,HEENT,SYSTEM_ORGAN_SITE,ANATOMY,Head part (body structure),123850002,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
91,HEENT,SYSTEM_ORGAN_SITE,ANATOMY,Entire head (body structure),302548004,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
92,oropharyngeal lesion,DX_NAME,MEDICAL_CONDITION,Lesion of oropharynx (disorder),33431000119109,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
93,oropharyngeal lesion,DX_NAME,MEDICAL_CONDITION,Lesion of larynx (finding),301210007,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
